session_id,actor_type,bot_type,event_type,x,y,timestamp
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100941
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100943
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100945
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100947
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100949
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100951
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100953
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697100955
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,mousemove,264,644,1774697101140
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,264,644,1774697101142
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,scroll,121.5999984741211,,1774697101217
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,264,608,1774697101328
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,scroll,271.20001220703125,,1774697101330
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,mousemove,264,556,1774697101489
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,264,556,1774697101490
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,focus_change,,,1774697101543
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,page_screen_change,,,1774697101572
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,mousemove,90,643,1774697102193
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,90,643,1774697102194
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,scroll,298.3999938964844,,1774697102208
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,436,358,1774697102328
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,mousemove,787,372,1774697102444
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,787,372,1774697102446
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,focus_change,,,1774697102515
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,page_screen_change,,,1774697102551
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103144
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103145
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103148
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103149
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103150
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103151
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103154
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103155
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103159
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103157
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,scroll,389.6000061035156,,1774697103251
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103275
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103276
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103279
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103282
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103284
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103286
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103288
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103291
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103294
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103296
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103301
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103299
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103302
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103303
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103305
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103306
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103545
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103546
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103547
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103548
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103549
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103551
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103552
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103553
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103555
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103558
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103560
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103562
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103563
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103564
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103565
