session_id,actor_type,bot_type,total_events,click_count,scroll_count,keydown_count,mousemove_count,mean_interval,std_interval,min_interval,max_interval,start_time,session_duration,event_rate,click_ratio,scroll_ratio,keydown_ratio,mousemove_ratio,idle_ratio,longest_idle_gap,sequence_entropy,repetition_score,bigram_CC,bigram_CK,bigram_CS,bigram_CM,bigram_KC,bigram_KK,bigram_KS,bigram_MC,bigram_MS,bigram_SC,bigram_SK,bigram_SS,label
391534ed-aaec-490c-b62b-bf15d43748a0,bot,human_like,223,9,7,178,18,0.2762477477477478,0.2832241439547241,0.0,1.836,1774697217.08,61.327,3.6362450470429013,0.04035874439461883,0.03139013452914798,0.7982062780269058,0.08071748878923767,1.0000000000000002,1.836,1.1570815382173107,0.8018018018018018,0.0,0.0,0.018018018018018018,0.0045045045045045045,0.0,0.7792792792792793,0.009009009009009009,0.04054054054054054,0.0045045045045045045,0.0,0.009009009009009009,0.0,bot
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,147,9,7,114,6,0.036657534246575335,0.12517581777898137,0.0,0.823,1774697184.562,5.352,27.466367713004484,0.061224489795918366,0.047619047619047616,0.7755102040816326,0.04081632653061224,0.9999999999999997,0.823,1.2793217969391213,0.7465753424657534,0.0,0.0,0.0273972602739726,0.00684931506849315,0.0,0.7465753424657534,0.02054794520547945,0.0410958904109589,0.0,0.02054794520547945,0.0136986301369863,0.0,bot
6e21434f-90fe-4fbf-b5c7-a8619f1ae73f,human,none,11,1,0,0,8,0.22439999999999993,0.10485884692183954,0.058,0.394,1774696943.818,2.244,4.901960784313725,0.09090909090909091,0.0,0.0,0.7272727272727273,0.9999999999999996,0.394,1.2776134368191154,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,human
75b456da-80e3-4b65-852b-b7ae3f44c685,human,none,18,2,2,0,9,2.6054705882352946,9.450798287166323,0.012,39.197,1774697835.646,44.293,0.40638475605626173,0.1111111111111111,0.1111111111111111,0.0,0.5,1.0000000000000002,39.197,1.9874687506009634,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,human
7f00c834-d1f3-4978-a81c-0a11723a851d,bot,coordinated,146,7,6,116,6,0.049765517241379315,0.16763489650100963,0.0,0.963,1774697855.018,7.216,20.23281596452328,0.04794520547945205,0.0410958904109589,0.7945205479452054,0.0410958904109589,1.0,0.963,1.2045621318097521,0.7655172413793103,0.0,0.0,0.020689655172413793,0.0,0.0,0.7655172413793103,0.020689655172413793,0.041379310344827586,0.0,0.006896551724137931,0.013793103448275862,0.0,bot
a77e1e7d-9b64-45d4-8c57-da2a1dbd74ae,bot,coordinated,145,7,6,115,6,0.05225694444444444,0.174445565137646,0.0,1.018,1774697855.025,7.525,19.269102990033222,0.04827586206896552,0.041379310344827586,0.7931034482758621,0.041379310344827586,0.9999999999999999,1.018,1.210572022593807,0.7638888888888888,0.0,0.0,0.020833333333333332,0.0,0.0,0.7638888888888888,0.020833333333333332,0.041666666666666664,0.0,0.006944444444444444,0.013888888888888888,0.0,bot
b074b51b-079b-40de-ba20-511af247404a,human,none,8,1,0,0,5,0.3078571428571429,0.26123835130102196,0.045,0.85,1774697881.773,2.155,3.712296983758701,0.125,0.0,0.0,0.625,1.0000000000000002,0.85,1.5487949406953985,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,human
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,148,9,7,115,6,0.03788435374149659,0.12487300491402283,0.0,0.841,1774697098.14,5.569,26.5756868378524,0.060810810810810814,0.0472972972972973,0.777027027027027,0.04054054054054054,0.9999999999999999,0.841,1.2731464414078866,0.7482993197278912,0.0,0.0,0.027210884353741496,0.006802721088435374,0.0,0.7482993197278912,0.02040816326530612,0.04081632653061224,0.0,0.02040816326530612,0.013605442176870748,0.0,bot
ee4645c5-afc3-424d-a625-d7fb9f2013ba,human,none,59,0,12,0,40,8.392189655172412,43.39870525413552,0.015,302.247,1774697347.226,486.747,0.12121286828681019,0.0,0.2033898305084746,0.0,0.6779661016949152,0.9999999999999999,302.247,1.2825337475232768,0.8448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.1896551724137931,human
f9a001c7-5c0e-45c4-b881-58940775466b,human,none,7,1,0,0,5,0.26099999999999995,0.10576388797694607,0.189,0.472,1774697880.086,1.566,4.469987228607918,0.14285714285714285,0.0,0.0,0.7142857142857143,0.9999999999999999,0.472,1.1488348542809166,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,human
fc1551f6-ef6e-496d-b06e-4b71d16b3733,bot,coordinated,145,7,6,115,6,0.050944444444444445,0.16959729257049372,0.0,0.912,1774697855.312,7.336,19.765539803707743,0.04827586206896552,0.041379310344827586,0.7931034482758621,0.041379310344827586,1.0,0.912,1.210572022593807,0.7638888888888888,0.0,0.0,0.020833333333333332,0.0,0.0,0.7638888888888888,0.020833333333333332,0.041666666666666664,0.0,0.006944444444444444,0.013888888888888888,0.0,bot
